title,price,star_rating,availability,category
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,Three,In stock,Nonfiction
Big Magic: Creative Living Beyond Fear,£30.80,Three,In stock,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,Two,In stock,Nonfiction
Agnostic: A Spirited Manifesto,£12.51,Five,In stock,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,Four,In stock,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,Two,In stock,Nonfiction
The Year of Magical Thinking,£43.04,Two,In stock,Nonfiction
The Literature Book (Big Ideas Simply Explained),£17.43,Three,In stock,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,One,In stock,Nonfiction
Swell: A Year of Waves,£45.58,One,In stock,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,Two,In stock,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,£29.14,Five,In stock,Nonfiction
Let It Out: A Journey Through Journaling,£26.79,Five,In stock,Nonfiction
Hamilton: The Revolution,£58.79,Three,In stock,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,Four,In stock,Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,Five,In stock,Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,Four,In stock,Nonfiction
Brain on Fire: My Month of Madness,£49.32,Five,In stock,Nonfiction
Abstract City,£56.37,Five,In stock,Nonfiction
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,One,In stock,Nonfiction
The Lonely City: Adventures in the Art of Being Alone,£33.26,Two,In stock,Nonfiction
The Diary of a Young Girl,£59.90,Three,In stock,Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,Three,In stock,Nonfiction
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four,In stock,Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four,In stock,Nonfiction
"Mother, Can You Not?",£16.89,Five,In stock,Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,Three,In stock,Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,Two,In stock,Nonfiction
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,£35.92,Two,In stock,Nonfiction
"Zero to One: Notes on Startups, or How to Build the Future",£34.06,Three,In stock,Nonfiction
Why Not Me?,£17.76,One,In stock,Nonfiction
When Breath Becomes Air,£39.36,Two,In stock,Nonfiction
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",£28.45,Four,In stock,Nonfiction
Smarter Faster Better: The Secrets of Being Productive in Life and Business,£38.89,Five,In stock,Nonfiction
Rising Strong,£21.82,Three,In stock,Nonfiction
Man's Search for Meaning,£29.48,Three,In stock,Nonfiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",£25.06,Two,In stock,Nonfiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,£12.55,Three,In stock,Nonfiction
I Will Find You,£44.21,One,In stock,Nonfiction
Brazen: The Courage to Find the You That's Been Hiding,£19.22,Two,In stock,Nonfiction
Between the World and Me,£56.91,Four,In stock,Nonfiction
Being Mortal: Medicine and What Matters in the End,£55.06,Four,In stock,Nonfiction
"A Murder Over a Girl: Justice, Gender, Junior High",£13.20,Three,In stock,Nonfiction
For the Love: Fighting for Grace in a World of Impossible Standards,£45.13,Three,In stock,Nonfiction
Finding God in the Ruins: How God Redeems Pain,£46.64,Two,In stock,Nonfiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,£59.45,Four,In stock,Nonfiction
In Cold Blood,£49.98,Four,In stock,Nonfiction
"Girl, Interrupted",£42.14,Three,In stock,Nonfiction
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,£48.67,Two,In stock,Nonfiction
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,£25.15,Four,In stock,Nonfiction
My Mother Was Nuts,£31.63,Four,In stock,Nonfiction
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",£32.35,Three,In stock,Nonfiction
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,£38.71,Three,In stock,Nonfiction
The Gunning of America: Business and the Making of American Gun Culture,£16.81,Four,In stock,Nonfiction
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,£28.23,Two,In stock,Nonfiction
God Is Not Great: How Religion Poisons Everything,£27.80,One,In stock,Nonfiction
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,£31.95,Three,In stock,Nonfiction
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,£50.66,Three,In stock,Nonfiction
"Unstuffed: Decluttering Your Home, Mind, and Soul",£58.09,One,In stock,Nonfiction
Under the Banner of Heaven: A Story of Violent Faith,£30.00,One,In stock,Nonfiction
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",£53.51,One,In stock,Nonfiction
The Name of God is Mercy,£37.25,Two,In stock,Nonfiction
Stiff: The Curious Lives of Human Cadavers,£36.74,Three,In stock,Nonfiction
Spilled Milk: Based on a True Story,£49.51,One,In stock,Nonfiction
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",£41.67,Four,In stock,Nonfiction
Outliers: The Story of Success,£14.16,One,In stock,Nonfiction
Notes from a Small Island (Notes From a Small Island #1),£40.17,One,In stock,Nonfiction
Night (The Night Trilogy #1),£13.51,One,In stock,Nonfiction
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",£57.83,One,In stock,Nonfiction
Letter to a Christian Nation,£22.20,One,In stock,Nonfiction
Let's Pretend This Never Happened: A Mostly True Memoir,£45.11,One,In stock,Nonfiction
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38,One,In stock,Nonfiction
Into the Wild,£56.70,Five,In stock,Nonfiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85,Three,In stock,Nonfiction
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88,Two,In stock,Nonfiction
Gratitude,£26.66,Five,In stock,Nonfiction
Disrupted: My Misadventure in the Start-Up Bubble,£15.28,Five,In stock,Nonfiction
Brave Enough,£51.32,Five,In stock,Nonfiction
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35,Two,In stock,Nonfiction
Blink: The Power of Thinking Without Thinking,£21.74,Five,In stock,Nonfiction
Black Flags: The Rise of ISIS,£40.87,One,In stock,Nonfiction
Are We Smart Enough to Know How Smart Animals Are?,£56.58,One,In stock,Nonfiction
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48,Four,In stock,Nonfiction
"The Suffragettes (Little Black Classics, #96)",£11.89,Two,In stock,Nonfiction
Kindle Paperwhite User's Guide,£34.00,Three,In stock,Nonfiction
H is for Hawk,£57.42,Five,In stock,Nonfiction
Travels with Charley: In Search of America,£57.82,Five,In stock,Nonfiction
The Tumor,£41.56,Five,In stock,Nonfiction
The End of the Jesus Era (An Investigation #1),£14.40,One,In stock,Nonfiction
"Eat, Pray, Love",£51.32,Three,In stock,Nonfiction
