title,price_gbp,rating,in_stock,category,price_inr
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,True,Sequential Art,5434.3
El Deafo,57.62,5,True,Sequential Art,6078.91
Batman: Europa,32.01,2,True,Sequential Art,3377.06
Art Ops Vol. 1,48.8,3,True,Sequential Art,5148.4
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,True,Sequential Art,1149.95
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,True,Sequential Art,3581.73
Roller Girl,14.1,5,True,Sequential Art,1487.55
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,True,Sequential Art,2064.64
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,True,Sequential Art,2211.28
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,True,Sequential Art,3839.14
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,True,Sequential Art,1722.81
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,True,Sequential Art,5529.25
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,True,Sequential Art,2941.34
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,True,Sequential Art,5321.42
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,True,Sequential Art,1520.26
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,True,Sequential Art,5860.52
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,True,Sequential Art,2275.64
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,True,Sequential Art,4602.96
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,True,Sequential Art,4128.22
Original Fake,31.45,3,True,Sequential Art,3317.98
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,True,Sequential Art,4506.96
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,True,Sequential Art,4765.44
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,True,Sequential Art,5202.2
Awkward,38.02,2,True,Sequential Art,4011.11
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,True,Sequential Art,5782.46
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,True,Sequential Art,1239.62
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,True,Sequential Art,1228.02
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,True,Sequential Art,1952.8
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,True,Sequential Art,3852.86
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,True,Sequential Art,5709.66
The Complete Maus (Maus #1-2),10.64,3,True,Sequential Art,1122.52
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,True,Sequential Art,4443.66
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,True,Sequential Art,3004.64
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,True,Sequential Art,4954.28
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,True,Sequential Art,2290.41
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,True,Sequential Art,3151.29
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,True,Sequential Art,4155.65
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,True,Sequential Art,4772.82
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,True,Sequential Art,5988.18
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,True,Sequential Art,4249.54
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,True,Sequential Art,3655.58
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,True,Sequential Art,6019.83
Chase Me (Paris Nights #2),25.27,5,True,Romance,2665.98
Black Dust,34.53,5,True,Romance,3642.92
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True,Romance,3583.84
First and First (Five Boroughs #3),15.97,4,True,Romance,1684.84
Fifty Shades Darker (Fifty Shades #2),21.96,1,True,Romance,2316.78
The Wedding Dress,24.12,1,True,Romance,2544.66
Suddenly in Love (Lake Haven #1),55.99,2,True,Romance,5906.95
Something More Than This,16.24,4,True,Romance,1713.32
Doing It Over (Most Likely To #1),35.61,3,True,Romance,3756.86
The Wedding Pact (The O'Malleys #2),32.61,3,True,Romance,3440.36
Hold Your Breath (Search and Rescue #1),28.82,1,True,Romance,3040.51
Dirty (Dive Bar #1),40.83,4,True,Romance,4307.56
Take Me Home Tonight (Rock Star Romance #3),53.98,3,True,Romance,5694.89
Off the Hook (Fishing for Trouble #1),47.67,3,True,Romance,5029.19
A Gentleman's Position (Society of Gentlemen #3),14.75,5,True,Romance,1556.12
"Sit, Stay, Love",20.9,3,True,Romance,2204.95
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,True,Romance,3302.15
The Perfect Play (Play by Play #1),59.99,3,True,Romance,6328.95
Dark Lover (Black Dagger Brotherhood #1),12.87,1,True,Romance,1357.78
Changing the Game (Play by Play #2),13.38,3,True,Romance,1411.59
A Walk to Remember,56.43,1,True,Romance,5953.36
The Purest Hook (Second Circle Tattoos #3),12.25,1,True,Romance,1292.38
The Obsession,45.43,1,True,Romance,4792.86
Reservations for Two,11.1,3,True,Romance,1171.05
Best of My Love (Fool's Gold #20),27.41,2,True,Romance,2891.76
Where Lightning Strikes (Bleeding Stars #3),39.77,3,True,Romance,4195.74
This One Moment (Pushing Limits #1),48.71,1,True,Romance,5138.9
"Rhythm, Chord & Malykhin",28.34,2,True,Romance,2989.87
My Perfect Mistake (Over the Top #1),38.92,2,True,Romance,4106.06
Listen to Me (Fusion #1),58.99,3,True,Romance,6223.45
Imperfect Harmony,34.74,4,True,Romance,3665.07
Fighting Fate (Fighting #6),39.24,3,True,Romance,4139.82
Deep Under (Walker Security #1),47.09,5,True,Romance,4968.0
Charity's Cross (Charles Towne Belles #4),41.24,1,True,Romance,4350.82
Bounty (Colorado Mountain #7),37.26,4,True,Romance,3930.93
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,True,Nonfiction,4251.65
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,Nonfiction,3275.78
Reasons to Stay Alive,26.41,2,True,Nonfiction,2786.26
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,Nonfiction,2438.1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,Nonfiction,4660.99
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,Nonfiction,3283.16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,Nonfiction,1769.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,Nonfiction,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True,Nonfiction,5914.33
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,Nonfiction,4413.06
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,Nonfiction,2092.06
In the Country We Love: My Family Divided,22.0,4,True,Nonfiction,2321.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,True,Nonfiction,5733.92
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True,Nonfiction,3074.27
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True,Nonfiction,3250.46
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,True,Nonfiction,4593.47
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,True,Nonfiction,4031.16
The Genius of Birds,17.24,1,True,Nonfiction,1818.82
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,True,Nonfiction,4060.7
So You've Been Publicly Shamed,12.23,2,True,Nonfiction,1290.27
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,True,Nonfiction,2049.86
Big Magic: Creative Living Beyond Fear,30.8,3,True,Nonfiction,3249.4
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,True,Nonfiction,2893.86
Agnostic: A Spirited Manifesto,12.51,5,True,Nonfiction,1319.8
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,True,Nonfiction,4030.1
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,True,Nonfiction,2067.8
The Year of Magical Thinking,43.04,2,True,Nonfiction,4540.72
The Literature Book (Big Ideas Simply Explained),17.43,3,True,Nonfiction,1838.86
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,True,Nonfiction,1663.74
Swell: A Year of Waves,45.58,1,True,Nonfiction,4808.69
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,True,Nonfiction,2315.72
Looking for Lovely: Collecting the Moments that Matter,29.14,5,True,Nonfiction,3074.27
Let It Out: A Journey Through Journaling,26.79,5,True,Nonfiction,2826.34
Hamilton: The Revolution,58.79,3,True,Nonfiction,6202.34
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,True,Nonfiction,1588.83
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,True,Nonfiction,5459.62
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,True,Nonfiction,3987.9
Brain on Fire: My Month of Madness,49.32,5,True,Nonfiction,5203.26
Abstract City,56.37,5,True,Nonfiction,5947.04
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,True,Nonfiction,2854.83
The Lonely City: Adventures in the Art of Being Alone,33.26,2,True,Nonfiction,3508.93
The Diary of a Young Girl,59.9,3,True,Nonfiction,6319.45
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,True,Nonfiction,2237.66
Furiously Happy: A Funny Book About Horrible Things,41.46,4,True,Nonfiction,4374.03
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,True,Nonfiction,1232.24
"Mother, Can You Not?",16.89,5,True,Nonfiction,1781.9
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,True,Nonfiction,2060.42
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,True,Nonfiction,2592.14
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,True,Nonfiction,3789.56
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,True,Nonfiction,3593.33
Why Not Me?,17.76,1,True,Nonfiction,1873.68
When Breath Becomes Air,39.36,2,True,Nonfiction,4152.48
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,True,Nonfiction,3001.48
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,True,Nonfiction,4102.9
Rising Strong,21.82,3,True,Nonfiction,2302.01
Man's Search for Meaning,29.48,3,True,Nonfiction,3110.14
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,True,Nonfiction,2643.83
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,True,Nonfiction,1324.02
I Will Find You,44.21,1,True,Nonfiction,4664.16
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,True,Nonfiction,2027.71
Between the World and Me,56.91,4,True,Nonfiction,6004.0
Being Mortal: Medicine and What Matters in the End,55.06,4,True,Nonfiction,5808.83
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,True,Nonfiction,1392.6
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3,True,Nonfiction,4761.22
Finding God in the Ruins: How God Redeems Pain,46.64,2,True,Nonfiction,4920.52
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,True,Nonfiction,6271.98
In Cold Blood,49.98,4,True,Nonfiction,5272.89
"Girl, Interrupted",42.14,3,True,Nonfiction,4445.77
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2,True,Nonfiction,5134.69
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,True,Nonfiction,2653.32
My Mother Was Nuts,31.63,4,True,Nonfiction,3336.96
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3,True,Nonfiction,3412.92
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3,True,Nonfiction,4083.9
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,True,Nonfiction,1773.46
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2,True,Nonfiction,2978.26
God Is Not Great: How Religion Poisons Everything,27.8,1,True,Nonfiction,2932.9
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3,True,Nonfiction,3370.72
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3,True,Nonfiction,5344.63
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1,True,Nonfiction,6128.5
Under the Banner of Heaven: A Story of Violent Faith,30.0,1,True,Nonfiction,3165.0
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1,True,Nonfiction,5645.3
The Name of God is Mercy,37.25,2,True,Nonfiction,3929.88
Stiff: The Curious Lives of Human Cadavers,36.74,3,True,Nonfiction,3876.07
Spilled Milk: Based on a True Story,49.51,1,True,Nonfiction,5223.3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4,True,Nonfiction,4396.19
Outliers: The Story of Success,14.16,1,True,Nonfiction,1493.88
Notes from a Small Island (Notes From a Small Island #1),40.17,1,True,Nonfiction,4237.94
Night (The Night Trilogy #1),13.51,1,True,Nonfiction,1425.3
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1,True,Nonfiction,6101.06
Letter to a Christian Nation,22.2,1,True,Nonfiction,2342.1
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1,True,Nonfiction,4759.1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1,True,Nonfiction,4471.09
Into the Wild,56.7,5,True,Nonfiction,5981.85
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3,True,Nonfiction,3043.68
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2,True,Nonfiction,3046.84
Gratitude,26.66,5,True,Nonfiction,2812.63
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,True,Nonfiction,1612.04
Brave Enough,51.32,5,True,Nonfiction,5414.26
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2,True,Nonfiction,2885.42
Blink: The Power of Thinking Without Thinking,21.74,5,True,Nonfiction,2293.57
Black Flags: The Rise of ISIS,40.87,1,True,Nonfiction,4311.78
Are We Smart Enough to Know How Smart Animals Are?,56.58,1,True,Nonfiction,5969.19
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4,True,Nonfiction,3215.64
"The Suffragettes (Little Black Classics, #96)",11.89,2,True,Nonfiction,1254.4
Kindle Paperwhite User's Guide,34.0,3,True,Nonfiction,3587.0
H is for Hawk,57.42,5,True,Nonfiction,6057.81
Travels with Charley: In Search of America,57.82,5,True,Nonfiction,6100.01
The Tumor,41.56,5,True,Nonfiction,4384.58
The End of the Jesus Era (An Investigation #1),14.4,1,True,Nonfiction,1519.2
"Eat, Pray, Love",51.32,3,True,Nonfiction,5414.26
